iter	Passed	Remaining
436	1424	1835
437	1428	1833
438	1429	1827
439	1431	1821
440	1432	1816
441	1434	1810
442	1435	1805
443	1437	1799
444	1440	1796
445	1443	1792
446	1444	1787
447	1446	1781
448	1447	1776
449	1448	1770
450	1450	1765
451	1452	1760
452	1458	1760
453	1459	1755
454	1461	1750
455	1462	1745
456	1464	1739
457	1465	1734
458	1467	1729
459	1473	1729
460	1477	1727
461	1478	1722
462	1480	1716
463	1481	1711
464	1483	1706
465	1486	1703
466	1488	1699
467	1490	1694
468	1493	1690
469	1494	1685
470	1495	1679
471	1496	1674
472	1498	1669
473	1501	1666
474	1503	1661
475	1504	1656
476	1506	1651
477	1507	1646
478	1508	1641
479	1510	1635
480	1511	1630
481	1512	1625
482	1515	1621
483	1517	1618
484	1519	1613
485	1520	1608
486	1521	1603
487	1523	1598
488	1524	1593
489	1526	1588
490	1527	1583
491	1531	1581
492	1534	1578
493	1535	1573
494	1537	1568
495	1538	1563
496	1540	1558
497	1541	1553
498	1542	1549
499	1548	1548
500	1550	1544
501	1551	1539
502	1553	1534
503	1554	1529
504	1555	1525
505	1557	1520
506	1560	1517
507	1562	1513
508	1563	1508
509	1566	1505
510	1568	1500
511	1569	1496
512	1570	1491
513	1572	1486
514	1576	1484
515	1578	1480
516	1579	1475
517	1580	1470
518	1581	1465
519	1582	1460
520	1583	1455
521	1584	1451
522	1585	1446
523	1586	1441
524	1589	1437
525	1590	1433
526	1592	1429
527	1593	1424
528	1594	1419
529	1595	1415
530	1596	1410
531	1598	1405
532	1599	1401
533	1600	1396
534	1601	1391
535	1602	1386
536	1604	1383
537	1606	1379
538	1607	1374
539	1608	1370
540	1609	1365
541	1610	1361
542	1611	1356
543	1612	1351
544	1613	1347
545	1614	1342
546	1615	1338
547	1616	1333
548	1619	1330
549	1620	1326
550	1622	1322
551	1623	1317
552	1624	1313
553	1625	1308
554	1626	1304
555	1627	1299
556	1628	1295
557	1629	1290
558	1630	1286
559	1631	1281
560	1633	1278
561	1636	1275
562	1637	1271
563	1638	1266
564	1639	1262
565	1640	1258
566	1641	1253
567	1642	1249
568	1643	1245
569	1644	1240
570	1645	1236
571	1648	1233
572	1650	1229
573	1651	1225
574	1652	1221
575	1653	1217
576	1654	1212
577	1655	1208
578	1656	1204
579	1657	1200
580	1658	1195
581	1659	1191
582	1660	1187
583	1663	1184
584	1666	1181
585	1668	1178
586	1670	1175
587	1671	1171
588	1672	1167
589	1673	1162
590	1674	1158
591	1677	1156
592	1679	1152
593	1680	1148
594	1681	1144
595	1682	1140
596	1683	1136
597	1684	1132
598	1685	1128
599	1687	1124
600	1688	1120
601	1689	1116
602	1691	1113
603	1693	1110
604	1694	1106
605	1696	1102
606	1697	1098
607	1698	1094
608	1699	1091
609	1700	1087
610	1701	1083
611	1702	1079
612	1703	1075
613	1704	1071
614	1707	1068
615	1708	1065
616	1709	1061
617	1710	1057
618	1712	1053
619	1713	1050
620	1714	1046
621	1715	1042
622	1716	1038
623	1717	1034
624	1718	1030
625	1720	1027
626	1721	1024
627	1724	1021
628	1725	1017
629	1726	1013
630	1727	1010
631	1728	1006
632	1729	1002
633	1730	998
634	1731	995
635	1732	991
636	1733	987
637	1736	985
638	1738	982
639	1739	978
640	1740	974
641	1741	971
642	1742	967
643	1743	963
644	1744	960
645	1745	956
646	1746	953
647	1747	949
648	1751	947
649	1754	944
650	1755	941
